City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,ketchikan,55.3422,-131.6461,13.26,88,0,6.17,US,1684152921
261,hojai,26.0,92.8667,24.72,76,66,3.42,IN,1684153418
262,jagatsinghapur,20.2667,86.1667,33.2,63,69,6.1,IN,1684153419
263,fedorovskiy,45.0972,40.9517,20.11,51,24,1.66,RU,1684153420
264,turpan,42.9333,89.1667,32.23,19,49,6.4,CN,1684153421
265,sao jose da coroa grande,-8.8978,-35.1478,27.9,77,98,4.62,BR,1684153423
266,caibarien,22.5206,-79.4669,23.62,79,60,1.82,CU,1684153424
267,sechura,-5.5569,-80.8222,23.83,79,83,4.58,PE,1684153425
268,enoch,37.7733,-113.0244,16.14,44,20,6.69,US,1684153426
269,boden,65.8252,21.6886,12.0,42,67,4.76,SE,1684153428
270,tobruk,32.0836,23.9764,24.65,48,42,8.03,LY,1684153429
271,paramonga,-10.6667,-77.8333,21.25,82,58,3.28,PE,1684152892
272,alice springs,-23.7,133.8833,10.75,87,18,2.49,AU,1684152870
273,itaituba,-4.2761,-55.9836,29.09,84,20,0.0,BR,1684153429
274,kushiro,42.975,144.3747,8.48,97,100,4.32,JP,1684153434
275,bairnsdale,-37.8333,147.6167,11.7,78,3,0.45,AU,1684153436
276,bagan,54.1001,77.6646,15.16,42,85,6.74,RU,1684153437
277,the pas,53.8251,-101.2541,16.01,44,75,6.17,CA,1684153439
278,vernon,50.2581,-119.2691,15.16,62,0,4.63,CA,1684153440
279,sao vicente,-23.9631,-46.3919,21.82,73,0,1.03,BR,1684153441
280,felahiye,39.0906,35.5672,18.41,35,13,4.4,TR,1684153442
281,kawanoecho,34.0167,133.5667,19.21,72,11,2.36,JP,1684153444
282,vinh,18.6667,105.6667,25.89,87,96,3.8,VN,1684153272
283,alaghsas,17.0187,8.0168,41.94,14,0,3.09,NE,1684153446
284,port-vila,-17.7338,168.3219,22.78,94,75,1.03,VU,1684153447
285,oudewater,52.025,4.8681,15.61,84,100,2.24,NL,1684153449
286,brokopondo,4.75,-55.1667,26.04,90,76,4.25,SR,1684153450
287,pavlovka,52.6897,47.1405,14.64,58,83,4.11,RU,1684153451
288,ola,59.5833,151.2833,3.97,64,56,0.8,RU,1684153453
289,nyurba,63.2842,118.3319,4.15,52,100,1.41,RU,1684152872
290,ambon,-3.6954,128.1814,26.8,13,40,2.06,ID,1684153455
291,segou,13.4317,-6.2157,33.03,40,99,2.25,ML,1684153457
292,kailua-kona,19.6406,-155.9956,23.06,82,100,4.63,US,1684153458
293,enniscorthy,52.5008,-6.5578,13.6,61,38,4.7,IE,1684153462
294,waingapu,-9.6567,120.2641,23.71,72,74,2.17,ID,1684153463
295,north bend,43.4065,-124.2243,13.29,97,100,0.0,US,1684153464
296,kasongo,-4.45,26.6667,32.46,43,59,2.17,CD,1684153465
297,popondetta,-8.7537,148.2534,24.66,97,70,1.11,PG,1684153467
298,mocajuba,-2.5842,-49.5072,24.91,95,94,0.91,BR,1684153468
299,tselina,46.5338,41.0328,20.89,53,14,2.58,RU,1684153470
300,taltal,-25.4,-70.4833,16.8,89,29,1.54,CL,1684153472
301,brisas de zicatela,15.8369,-97.0419,24.29,83,40,3.6,MX,1684153473
302,matoury,4.8483,-52.3317,26.98,89,75,4.12,GF,1684153474
303,duragan,41.4158,35.0544,21.87,37,53,1.8,TR,1684153475
304,barro alto,-11.7608,-41.9117,21.76,82,100,2.9,BR,1684153476
305,fukuecho,32.6881,128.8419,18.83,85,64,3.5,JP,1684153478
306,fort mcmurray,56.7268,-111.381,12.73,54,0,1.03,CA,1684153479
307,walvis bay,-22.9575,14.5053,17.27,65,7,4.07,NA,1684153480
308,san patricio,28.017,-97.5169,24.35,90,91,2.48,US,1684152898
309,new norfolk,-42.7826,147.0587,14.72,74,91,4.03,AU,1684153483
310,minas de marcona,-15.2119,-75.1103,15.19,86,28,2.07,PE,1684153484
311,vorgashor,67.5833,63.95,-0.84,88,99,9.28,RU,1684153281
312,coquimbo,-29.9533,-71.3436,15.83,92,87,0.42,CL,1684153426
313,namibe,-15.1961,12.1522,25.39,58,4,3.78,AO,1684153488
314,molde,62.7375,7.1591,10.95,87,75,2.57,NO,1684153489
315,hargeysa,9.56,44.065,29.65,40,47,3.99,SO,1684153298
316,juneau,58.3019,-134.4197,8.45,94,0,0.0,US,1684153491
317,balkanabat,39.5108,54.3671,19.12,56,90,8.8,TM,1684153492
318,yung shue wan,22.2333,114.1167,25.87,82,100,3.65,HK,1684153493
319,acarau,-2.8856,-40.12,27.97,78,9,5.58,BR,1684153468
320,buta,2.7858,24.73,39.2,25,41,1.87,CD,1684153496
321,oum hadjer,13.2954,19.6966,41.66,15,2,2.07,TD,1684153497
322,carnarvon,-24.8667,113.6333,21.6,46,0,7.07,AU,1684153498
323,mayahi,13.9553,7.6712,40.75,11,53,2.84,NE,1684153499
324,antalaha,-14.9003,50.2788,27.62,66,3,3.89,MG,1684153501
325,labrador city,52.9463,-66.9114,4.95,93,100,3.6,CA,1684153502
326,singaraja,-8.112,115.0882,25.58,78,16,2.67,ID,1684153503
327,port hueneme,34.1478,-119.1951,17.4,95,100,2.57,US,1684153504
328,eirunepe,-6.6603,-69.8736,23.97,86,99,1.05,BR,1684153506
329,wuwei,37.9281,102.6414,24.05,16,90,3.28,CN,1684153507
330,sanctuary point,-35.1114,150.629,13.51,87,25,2.22,AU,1684153509
331,saldanha,-33.0117,17.9442,23.03,52,5,3.6,ZA,1684153510
332,istgah-e rah ahan-e garmsar,35.2346,52.3094,28.64,16,4,5.71,IR,1684153512
333,namdrik,5.5994,168.1028,27.77,78,100,3.52,MH,1684153513
334,rongelap,11.1635,166.8941,27.6,78,51,5.1,MH,1684153514
335,lerwick,60.1545,-1.1494,11.0,69,12,6.67,GB,1684153515
336,la ronge,55.1001,-105.2842,15.14,44,100,3.09,CA,1684153518
337,tolanaro,-25.0319,46.9987,27.04,78,40,7.2,MG,1684153519
338,anloga,5.7947,0.8973,27.46,82,100,5.05,GH,1684153520
339,fort bragg,35.139,-79.006,19.55,68,0,2.06,US,1684153521
340,tezu,27.9167,96.1667,19.91,96,100,1.29,IN,1684153522
